Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Voie,Code postal,Surface reelle bati,Nombre pieces principales,Type local,adresse_complete,lat_long
03/01/2020,Vente,"139200,00",28,,AV,CHARRAS,63000,73.0,4.0,Appartement,28  AV CHARRAS 63000  CLERMONT,"(45.779576649999996, 3.095042921973814)"
03/01/2020,Vente,"139200,00",28,,AV,CHARRAS,63000,0.0,0.0,Dépendance,28  AV CHARRAS 63000  CLERMONT,"(45.779576649999996, 3.095042921973814)"
03/01/2020,Vente,"139200,00",28,,AV,CHARRAS,63000,0.0,0.0,Dépendance,28  AV CHARRAS 63000  CLERMONT,"(45.779576649999996, 3.095042921973814)"
02/01/2020,Vente,"120250,00",29,,RUE,DE MALINTRAT,63100,83.0,4.0,Appartement,29  RUE DE MALINTRAT 63100  CLERMONT,"(45.7931096, 3.1178013)"
02/01/2020,Vente,"120250,00",23,B,RUE,DE MALINTRAT,63100,0.0,0.0,Dépendance,23 B RUE DE MALINTRAT 63100  CLERMONT,"(45.7931096, 3.1178013)"
06/01/2020,Vente,"181452,00",9,B,RUE,VOLNEY,63000,0.0,0.0,Dépendance,9 B RUE VOLNEY 63000  CLERMONT,"(45.7641749, 3.0811341)"
06/01/2020,Vente,"181452,00",9,B,RUE,VOLNEY,63000,60.0,3.0,Appartement,9 B RUE VOLNEY 63000  CLERMONT,"(45.7641749, 3.0811341)"
08/01/2020,Vente,"44000,00",101,,BD,LAFAYETTE,63000,20.0,1.0,Appartement,101  BD LAFAYETTE 63000  CLERMONT,"(45.7711607, 3.1003044)"
08/01/2020,Vente,"44000,00",101,,BD,LAFAYETTE,63000,0.0,0.0,Dépendance,101  BD LAFAYETTE 63000  CLERMONT,"(45.7711607, 3.1003044)"
09/01/2020,Echange,"200000,00",8,,RUE,ANDRE THEURIET,63000,64.0,3.0,Appartement,8  RUE ANDRE THEURIET 63000  CLERMONT,"(45.7634198, 3.0802471)"
09/01/2020,Echange,"200000,00",8,,RUE,ANDRE THEURIET,63000,0.0,0.0,Dépendance,8  RUE ANDRE THEURIET 63000  CLERMONT,"(45.7634198, 3.0802471)"
09/01/2020,Echange,"285000,00",31,,RUE,DU CAPRICORNE,63000,78.0,3.0,Maison,31  RUE DU CAPRICORNE 63000  CLERMONT,"(45.7786407, 3.1195258)"
14/01/2020,Vente,"320000,00",10,,RUE,DESDEVISES DU DEZERT,63000,42.0,2.0,Appartement,10  RUE DESDEVISES DU DEZERT 63000  CLERMONT,"(45.7653033, 3.0900944)"
